sym,strat,score,entry,entry_date,sl,tg,qty,val,days,regime,tier,exit,exit_date,reason,costs,pnl
COALINDIA,MOM,14.0,139.01,2022-04-13,129.39,153.43,359,49903.50300173701,5,2,NIFTY50,153.28,2022-04-21,TARGET,153.94,4967.76
ADANIENT,MOM,13.0,2152.06,2022-04-06,2028.33,2337.67,23,49497.463585893,12,2,NIFTY50,2277.85,2022-04-25,TIME,149.63,2743.57
COALINDIA,MOM,13.0,152.35,2022-04-22,141.73,168.29,328,49971.830737565295,2,2,NIFTY50,141.59,2022-04-25,SL,142.06,-3671.91
VEDL,MOM,13.0,230.72,2022-04-22,216.02,252.78,216,49835.809758683354,8,2,MIDCAP,215.59,2022-05-04,SL,142.02,-3410.54
RELIANCE,MOM,11.0,1228.63,2022-04-26,1170.67,1315.59,40,49145.39234129534,9,0,NIFTY50,1165.07,2022-05-09,SL_GAP,141.0,-2683.21
COALINDIA,MOM,12.0,141.08,2022-04-27,129.95,157.77,354,49941.37944160899,9,1,NIFTY50,129.82,2022-05-10,SL,141.34,-4127.36
SUNPHARMA,MOM,12.0,871.33,2022-05-05,825.78,939.66,57,49666.05107945378,4,0,NIFTY50,824.95,2022-05-10,SL,142.4,-2785.82
POWERGRID,MOM,11.0,154.41,2022-05-10,145.67,167.53,323,49875.740341890276,7,0,NIFTY50,145.52,2022-05-18,SL,142.69,-3012.76
ITC,MOM,11.0,223.57,2022-05-20,211.08,242.3,223,49855.8997826756,12,0,NIFTY50,226.75,2022-06-06,TIME,147.63,560.89
HAL,MOM,11.0,865.82,2022-05-24,803.58,959.19,57,49352.000417583695,12,0,MIDCAP,873.13,2022-06-08,TIME,145.74,270.68
DSSL,MOM,11.0,305.25,2022-06-06,261.66,370.63,163,49755.61096121709,5,0,SMALLCAP,369.15,2022-06-10,TARGET,160.89,10254.4
DSSL,MOM,11.0,338.28,2022-06-14,291.13,409.0,147,49726.58826192205,1,0,SMALLCAP,407.36,2022-06-14,TARGET,160.44,9994.91
