sym,strat,score,entry,entry_date,sl,tg,qty,val,days,regime,tier,exit,exit_date,reason,costs,pnl
HAL,MOM,12.0,1177.87,2022-10-20,1099.66,1295.18,42,49470.52999999056,12,2,MIDCAP,1233.95,2022-11-07,TIME,148.8,2206.41
VEDL,MOM,14.0,198.41,2022-11-09,183.19,221.24,252,49998.75229178231,12,2,MIDCAP,199.57,2022-11-24,TIME,147.47,145.75
BHARTIARTL,MOM,13.0,809.93,2022-11-09,777.32,858.84,61,49405.70667556831,12,2,NIFTY50,832.0,2022-11-24,TIME,147.2,1198.81
LT,MOM,12.0,1951.2,2022-11-09,1869.33,2074.01,25,48780.11084315596,12,2,NIFTY50,1973.41,2022-11-24,TIME,144.26,411.08
HINDZINC,MOM,13.0,228.32,2022-11-25,219.2,242.0,218,49773.48647845204,7,2,MIDCAP,241.52,2022-12-05,TARGET,150.42,2726.31
DSSL,MOM,12.0,332.82,2022-11-25,302.02,379.01,150,49922.33429318422,8,2,SMALLCAP,379.34,2022-12-06,TARGET_GAP,156.59,6821.44
LT,MOM,13.0,2005.11,2022-12-06,1935.99,2108.81,24,48122.739773909096,4,2,NIFTY50,2106.7,2022-12-09,TARGET,144.95,2293.24
ADANIENT,MOM,13.0,3927.54,2022-11-25,3696.51,4274.09,12,47130.496853383826,12,2,NIFTY50,4007.19,2022-12-12,TIME,139.96,815.8
GRAVITA,MOM,13.0,455.42,2022-12-13,415.93,514.65,109,49640.58130769258,4,2,SMALLCAP,414.27,2022-12-16,SL,139.75,-4625.51
SBIN,MOM,13.0,568.06,2022-12-07,549.03,596.6,88,49989.38106653543,11,2,NIFTY50,548.48,2022-12-21,SL,144.64,-1867.59
DSSL,MOM,13.0,360.98,2022-12-12,324.83,415.22,138,49815.87941788104,8,2,SMALLCAP,323.53,2022-12-21,SL,139.31,-5307.32
ADANIENT,MOM,13.0,3946.53,2022-12-22,3727.55,4275.01,12,47358.41329529034,2,2,NIFTY50,3723.82,2022-12-23,SL,135.57,-2808.06
AXISBANK,MOM,13.0,934.46,2022-12-22,901.93,983.26,53,49526.403127856815,2,2,NIFTY50,901.03,2022-12-23,SL,143.2,-1915.09
GRAVITA,MOM,13.0,421.43,2022-12-19,380.12,483.41,118,49729.03723475631,12,2,SMALLCAP,441.19,2023-01-03,TIME,149.53,2182.04
DATAPATTNS,MOM,14.0,1431.29,2023-04-06,1313.21,1608.42,34,48664.002760191026,4,2,SMALLCAP,1601.99,2023-04-12,TARGET,151.24,5652.43
LT,MOM,13.0,2175.42,2023-04-06,2080.07,2318.44,22,47859.21244822447,12,2,NIFTY50,2161.65,2023-04-25,TIME,140.35,-443.33
COALINDIA,MOM,12.0,181.87,2023-04-06,174.6,192.79,274,49833.241703320346,12,2,NIFTY50,187.87,2023-04-25,TIME,148.88,1496.27
ITC,MOM,13.0,332.35,2023-04-13,320.59,349.99,150,49852.986378423324,10,2,NIFTY50,349.64,2023-04-27,TARGET,150.26,2443.24
SHRIRAMFIN,MOM,13.0,272.58,2023-04-26,259.07,292.84,183,49881.8106915984,3,2,NIFTY50,255.06,2023-04-28,SL_GAP,142.25,-3348.76
ICICIBANK,MOM,12.0,890.32,2023-04-26,858.8,937.6,56,49857.88559885084,12,2,NIFTY50,920.17,2023-05-12,TIME,148.99,1522.88
DATAPATTNS,MOM,13.0,1668.51,2023-05-02,1528.81,1878.08,29,48386.917374589,10,2,SMALLCAP,1522.69,2023-05-15,SL,136.42,-4365.06
NESTLEIND,MOM,13.0,1029.95,2023-04-28,994.28,1083.47,48,49437.72568509304,12,2,NIFTY50,1056.94,2023-05-16,TIME,147.23,1148.09
EICHERMOT,MOM,13.0,3509.08,2023-05-15,3366.28,3723.27,14,49127.07082657066,12,2,NIFTY50,3548.71,2023-05-30,TIME,145.28,409.56
LT,MOM,12.0,2172.38,2023-05-16,2077.85,2314.19,23,49964.82456375615,12,2,NIFTY50,2120.97,2023-05-31,TIME,145.32,-1327.7
COALINDIA,MOM,13.0,202.68,2023-05-31,196.01,212.68,246,49859.48199709979,1,2,NIFTY50,195.81,2023-05-31,SL,144.3,-1833.34
HAL,MOM,13.0,1507.98,2023-05-17,1440.09,1609.82,33,49763.296256837646,12,2,MIDCAP,1487.93,2023-06-01,TIME,145.45,-807.16
AXISBANK,MOM,14.0,921.13,2023-06-02,891.14,966.12,54,49741.15243743263,3,2,NIFTY50,965.15,2023-06-06,TARGET,149.63,2227.66
DSSL,MOM,13.0,499.07,2023-06-07,459.21,558.87,100,49907.29822480886,2,2,SMALLCAP,457.37,2023-06-08,SL,140.98,-4310.66
VEDL,MOM,13.0,226.6,2023-06-01,217.55,240.17,220,49852.052043067866,12,2,MIDCAP,227.36,2023-06-16,TIME,146.87,20.32
COALINDIA,MOM,13.0,188.37,2023-06-01,181.18,199.17,265,49918.83975702817,12,2,NIFTY50,186.49,2023-06-16,TIME,146.13,-645.1
DSSL,MOM,13.0,466.09,2023-06-09,424.22,528.9,107,49871.86342984766,10,2,SMALLCAP,526.78,2023-06-22,TARGET,155.76,6338.54
GRASIM,MOM,13.0,1761.0,2023-06-19,1699.2,1853.7,28,49308.02888212205,5,2,NIFTY50,1697.5,2023-06-23,SL,142.56,-1920.54
APOLLOHOSP,MOM,13.0,5182.04,2023-06-19,4952.78,5525.94,9,46638.3643787468,12,2,NIFTY50,5030.65,2023-07-05,TIME,135.28,-1497.75
SHRIRAMFIN,MOM,13.0,325.11,2023-06-23,303.25,357.9,153,49741.721112994455,12,2,NIFTY50,337.42,2023-07-11,TIME,148.94,1735.16
BEL,MOM,13.0,117.93,2023-06-26,111.83,127.07,423,49882.777484058104,12,2,NIFTY50,124.16,2023-07-12,TIME,150.41,2484.32
ITC,MOM,13.0,410.14,2023-07-06,397.04,429.8,121,49627.53850672588,12,2,NIFTY50,420.56,2023-07-21,TIME,147.73,1112.93
LT,MOM,13.0,2376.07,2023-07-13,2301.24,2488.33,21,49897.56749437385,7,2,NIFTY50,2485.84,2023-07-21,TARGET,149.99,2155.22
ITC,MOM,13.0,423.98,2023-07-24,410.03,444.9,117,49605.459856824615,1,2,NIFTY50,409.62,2023-07-24,SL,143.57,-1823.69
INDUSINDBK,MOM,13.0,1358.24,2023-07-12,1301.64,1443.15,36,48896.74791851091,12,2,NIFTY50,1398.66,2023-07-27,TIME,145.86,1309.15
SHRIRAMFIN,MOM,13.0,353.48,2023-07-24,334.42,382.07,141,49840.831167362696,12,2,NIFTY50,356.72,2023-08-08,TIME,147.24,309.98
GRAVITA,MOM,14.0,638.06,2023-07-25,592.61,706.24,78,49768.710671152,12,2,SMALLCAP,682.98,2023-08-09,TIME,151.28,3352.81
LT,MOM,13.0,2563.14,2023-07-28,2472.78,2698.69,19,48699.75126817021,12,2,NIFTY50,2586.89,2023-08-14,TIME,143.88,307.29
SHRIRAMFIN,MOM,13.0,359.66,2023-08-09,341.0,387.66,139,49993.34248618043,4,2,NIFTY50,340.66,2023-08-14,SL,143.36,-2784.5
DRREDDY,MOM,13.0,1162.89,2023-08-10,1120.5,1226.48,42,48841.41390515519,12,2,NIFTY50,1140.0,2023-08-28,TIME,142.32,-1103.65
GRAVITA,MOM,13.0,744.22,2023-08-16,695.92,816.68,67,49862.900009233446,12,2,SMALLCAP,767.59,2023-08-31,TIME,148.85,1416.97
SHRIRAMFIN,MOM,12.0,348.3,2023-08-16,330.42,375.11,143,49806.39020852293,12,2,NIFTY50,369.54,2023-08-31,TIME,150.75,2887.08
MCX,MOM,13.0,359.77,2023-09-04,339.58,390.05,138,49647.97661967341,7,2,MIDCAP,338.9,2023-09-12,SL,142.02,-3021.96
GRAVITA,MOM,13.0,782.1,2023-09-04,738.46,847.57,63,49272.53337234781,7,2,SMALLCAP,735.51,2023-09-12,SL,140.83,-3076.24
GRAVITA,MOM,14.0,753.1,2023-09-13,704.25,826.39,66,49704.72800308573,1,2,SMALLCAP,701.43,2023-09-13,SL,141.44,-3551.46
GRAVITA,MOM,14.0,756.14,2023-09-14,701.51,838.07,66,49905.00286209965,3,2,SMALLCAP,834.72,2023-09-18,TARGET,154.03,5032.1
SHRIRAMFIN,MOM,13.0,368.11,2023-09-04,350.87,393.98,135,49695.31809932301,12,2,NIFTY50,367.55,2023-09-20,TIME,146.06,-221.6
GRAVITA,MOM,13.0,812.6,2023-09-21,751.0,904.99,61,49568.47355137738,5,2,SMALLCAP,901.37,2023-09-27,TARGET,153.36,5261.61
HCLTECH,MOM,13.0,1151.22,2023-09-20,1112.47,1209.36,43,49502.66902382824,7,2,NIFTY50,1111.36,2023-09-28,SL,143.22,-1857.31
LT,MOM,13.0,2868.43,2023-09-13,2764.4,3024.48,17,48763.34582628182,12,2,NIFTY50,2940.55,2023-09-29,TIME,145.14,1080.96
GRAVITA,MOM,13.0,908.31,2023-09-28,831.47,1023.57,55,49956.989627834766,12,2,SMALLCAP,968.73,2023-10-16,TIME,151.58,3171.49
LT,MOM,13.0,2962.96,2023-10-03,2858.63,3119.45,16,47407.3351808613,12,2,NIFTY50,2962.0,2023-10-18,TIME,139.43,-154.82
MCX,MOM,13.0,406.33,2023-10-03,372.82,456.58,123,49978.09901279307,12,2,MIDCAP,435.67,2023-10-18,TIME,152.04,3457.07
LT,MOM,12.0,2948.44,2023-10-19,2851.78,3093.43,16,47175.01952082792,4,2,NIFTY50,2848.93,2023-10-25,SL,136.54,-1728.73
DSSL,MOM,13.0,699.81,2023-10-19,638.65,791.55,71,49686.5915677316,5,2,SMALLCAP,636.1,2023-10-26,SL,139.83,-4663.57
POWERGRID,MOM,13.0,183.97,2023-10-17,176.88,194.61,271,49856.880070910105,12,2,NIFTY50,183.2,2023-11-02,TIME,146.35,-354.96
INDUSINDBK,MOM,14.0,1485.01,2023-11-16,1427.09,1571.9,33,49005.45380392396,12,2,NIFTY50,1496.52,2023-12-04,TIME,144.68,235.19
COALINDIA,MOM,13.0,293.67,2023-11-16,279.77,314.51,170,49923.2697151822,12,2,NIFTY50,308.0,2023-12-04,TIME,150.25,2285.46
MCX,MOM,13.0,581.18,2023-11-16,533.77,652.28,86,49981.290085305816,12,2,MIDCAP,613.64,2023-12-04,TIME,150.92,2640.54
SHRIRAMFIN,MOM,13.0,406.22,2023-12-05,387.24,434.7,123,49965.47321257138,6,2,NIFTY50,386.85,2023-12-12,SL,143.64,-2525.81
COALINDIA,MOM,13.0,309.48,2023-12-05,295.2,330.91,161,49826.99446411997,12,2,NIFTY50,305.78,2023-12-20,TIME,145.73,-740.87
HEROMOTOCO,MOM,13.0,3481.24,2023-12-05,3316.92,3727.73,14,48737.41397583343,12,2,NIFTY50,3490.3,2023-12-20,TIME,143.53,-16.74
DIXON,MOM,13.0,6364.1,2023-12-13,5967.97,6958.3,7,44548.73204866831,12,2,MIDCAP,6548.36,2023-12-29,TIME,132.84,1156.98
LT,MOM,12.0,3447.77,2024-01-01,3329.81,3624.71,14,48268.790323600784,3,2,NIFTY50,3326.48,2024-01-03,SL,139.61,-1837.67
SHRIRAMFIN,MOM,13.0,387.38,2023-12-21,365.01,420.94,129,49972.13244588149,11,2,NIFTY50,420.52,2024-01-05,TARGET,152.95,4121.99
DCXINDIA,MOM,13.0,333.33,2023-12-21,299.79,383.63,150,49999.2,12,2,SMALLCAP,345.16,2024-01-08,TIME,149.54,1625.53
LT,MOM,13.0,3353.29,2024-01-04,3234.2,3531.93,14,46946.1065322887,12,2,NIFTY50,3528.4,2024-01-19,TARGET,141.5,2310.01
BAJAJ-AUTO,MOM,13.0,6702.73,2024-01-08,6409.15,7143.11,7,46919.1315654302,12,2,NIFTY50,6874.14,2024-01-24,TIME,139.68,1060.16
COALINDIA,MOM,13.0,333.8,2024-01-09,316.6,359.61,149,49736.627204200624,12,2,NIFTY50,338.13,2024-01-25,TIME,147.2,497.81
LT,MOM,13.0,3544.83,2024-01-23,3416.39,3737.48,14,49627.629840725764,6,2,NIFTY50,3412.97,2024-01-31,SL,143.4,-1989.39
POWERGRID,MOM,14.0,225.5,2024-01-25,214.17,242.51,221,49836.28657019528,5,2,NIFTY50,242.27,2024-02-01,TARGET,151.76,3553.86
COALINDIA,MOM,13.0,341.85,2024-01-29,322.63,370.68,146,49910.25074340077,6,2,NIFTY50,370.31,2024-02-05,TARGET,152.61,4002.45
SHRIRAMFIN,MOM,13.0,467.62,2024-02-01,440.48,508.33,106,49567.61025758467,8,2,NIFTY50,440.04,2024-02-12,SL,141.72,-3065.25
COALINDIA,MOM,13.0,387.01,2024-02-06,363.38,422.45,129,49924.0032933289,9,2,NIFTY50,422.03,2024-02-16,TARGET,153.15,4364.11
DRREDDY,MOM,13.0,1189.76,2024-02-02,1133.93,1273.5,42,49969.805781254996,12,2,NIFTY50,1272.23,2024-02-19,TARGET,151.82,3311.77
